Материал,Производитель,Цвет,Код цвета (артикул),"Размер (Д x Ш), мм","Толщина, мм"
ЛДСП,Lamarty,Теффи,Н/Д,2750x1830,16
ЛДСП,Lamarty,Альберо,Н/Д,2750x1830,16
ЛДСП,Lamarty,Бамбук,Н/Д,2750x1830,16
ЛДСП,Lamarty,Белоснежный,Белоснежный,2750x1830,10
ЛДСП,Lamarty,Белый (шагрень),Н/Д,2750x1830,16
ЛДСП,Lamarty,Вяз швейцарский,125 РВ / 101033U,2750x1830,22
ЛДСП,Lamarty,Гамбия,101034W,2750x1830,16
ЛДСП,Lamarty,Графит,Н/Д,2750x1830,16
ЛДСП,Lamarty,Кремовый,101064 U,2750x1830,16
ЛДСП,Lamarty,Лайм,Н/Д,2750x1830,16
ЛДСП,Lamarty,Выбеленное дерево,Н/Д,2750x1830,16
ЛДСП,Lamarty,Орегано,Н/Д,2750x1830,16
ЛДСП,Lamarty,Серый 7810,7810,2750x1830,16
ЛДСП,Egger,Бежевый песок,U156 ST9,2800x2070,10
ЛДСП,Egger,Белый классический,W908 SM,2800x2070,16
ЛДСП,Egger,Венге Мали,Н/Д,2800x2070,8
ЛДСП,Egger,Вишня,Н/Д,2800x2070,8
ЛДСП,Egger,Груша Тирано,Н/Д,2800x2070,8
ЛДСП,Egger,Диамант серый,Н/Д,2800x2070,8
ЛДСП,Egger,Дуб Кендал натуральный,H3171 ST9,2800x2070,25
ЛДСП,Egger,Дуб Кремона,Н/Д,2800x2070,8
ЛДСП,Egger,Дуб Кунео белёный,H3311 TM28,2800x2070,8
ЛДСП,Egger,Дуб Термо чёрно-коричневый,Н/Д,2800x2070,16
ЛДСП,Egger,Имбирь,Н/Д,2800x2070,8
ЛДСП,Egger,Ирис,Н/Д,2800x2070,8
ЛДСП,Egger,Капучино,Н/Д,2800x2070,8
ЛДСП,Egger,Каштан,H1760 TM28,2800x2070,8
ЛДСП,Egger,Кирпичный красный,Н/Д,2800x2070,8
ЛДСП,Egger,Осина,Н/Д,2800x2070,8
ЛДСП,Egger,Розовый жасмин,Н/Д,2800x2070,8
ЛДСП,Egger,Серо-коричневый тёмный,Н/Д,2800x2070,25
ЛДСП,Egger,Эвкалипт темно-коричневый,Н/Д,2800x2070,10
ЛДСП,Egger,Ясень,Н/Д,2800x2070,8
ЛДСП,Kronospan,Белый 0110,0110 SM,2800x2070,16
ЛДСП,Kronospan,Венге,0854,2800x2070,16
ЛДСП,Kronospan,Вишня Оксфорд,0088,2800x2070,16
ЛДСП,Kronospan,Груша Ароза,9480,2800x2070,16
